url,version,category,resolveddate,spl,description
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-04-25,DBX-3777,On output creation search result preview ignores the time range defined in a savedsearch
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-04-14,DBX-3876,Naive cron expression validation for DBX input/output
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-04-11,DBX-2820,Unsupported JVM error message is too generic
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-04-11,DBX-3570,Reload API will reload both output and input tasks
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-04-11,DBX-4024,'testQuery' setting in db_connection_types.conf is ignored
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-04-06,DBX-3829,"Scheduled jobs (inputs, outputs) ignore updates on its connection or its identity"
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-22,DBX-3699,The same field name can be used for event and output lookup field
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-21,DBX-3746,The customized JAVA_HOME setting is ignored for output modular alert
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-21,DBX-3974,First Time Run page typo
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-19,DBX-3805,No error message in UI if there is a SQL error when executing output command
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-15,DBX-3939,Deprecated property enable_query_wrapping is created in db_connections.conf
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-13,DBX-3833,"Editing a lookup named like ""mi_lookup://xxx"" will open inputs page"
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-09,DBX-3928,Invalid conf value causing task server to fail
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-08,DBX-3831,Error message when user does not have write access to checkpoint folder is unclear
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-06,DBX-3924,Task server can't start if server.vmopts does not exist in windows
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-02,DBX-3884,Unable to enable an output if referenced by an output alert
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-03-02,DBX-3838,Improper health panel labels
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-02-27,DBX-3880,"If an input cannot be migrated because of missing checkpoint value, its name is not specified"
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-02-27,DBX-3842,Log file naming does not follow Splunk convention
